gname
SH3BP1
A1BG
ANKRD20A2
ANKRD20A4
"ANKRD20A5P,ANKRD20A5"
"A2M,CPAMD5,FWP007"
"A2ML1,CPAMD9"
"A4GALT,A14GALT,A4GALT1"
"APP,A4,AD1"
"AAAS,ADRACALA,GL003"
"AACS,ACSF1"
"AADAT,KAT2"
AAGAB
"ABHD17B,C9orf77,FAM108B1,CGI-67"
"ABHD17C,FAM108C1"
"ACKR1,DARC,FY,GPD"
"ACKR2,CCBP2,CCR10,CMKBR9,D6"
CHRM1
CHRM3
ACMSD
"ACOT13,THEM2,HT012,PNAS-27"
"ADAM10,KUZ,MADM"
"ADAM11,MDC"
"ADAM18,TMDC3,UNQ858/PRO1867"
ADAL
"ADAM2,FTNB"
"ADAP1,CENTA1"
"ADAP2,CENTA2"
"AGPS,AAG5"
ADAT1
ADCK1
"ADCK2,AARF"
AADACL2
AADACL3
AADACL4
"ADCY9,KIAA0520"
"ADCY10,SAC"
"ADD3,ADDL"
"ADGB,C6orf103,CAPN7L"
"ADH5,ADHX,FDH"
ADIG
"AASDHPPT,CGI-80,HAH-P,HSPC223,x0005"
"ADPRM,C17orf48,MDS006,Nbla03831"
"SLC25A31,AAC4,ANT4,SFEC"
"AFF1,AF4,FEL,MLLT2,PBM1"
"AGAP1,CENTG2,KIAA1099"
"AGAP7P,AGAP7,CTGLF4"
"AGFG2,HRBL,RABR"
"AGK,MULK"
"SCG5,SGNE1"
"ATG16L2,WDR80"
"SERPINA2,ARGS,ATR,PIL,SERPINA2P"
"AAMDC,C11orf67,PTD015"
AASS
"APBB1IP,PREL1,RARP1,RIAM"
ABCA9
"ABCA11P,ABCA11"
"ABCA12,ABC12"
"ABCD2,ALD1,ALDL1,ALDR,ALDRP"
"ABHD18,C4orf29"
APOBEC1
"ABHD15,UNQ6510/PRO21435"
"ABHD1,LABH1"
"ABHD5,NCIE2,CGI-58"
ABHD10
"ABHD11,WBSCR21,PP1226"
"ABL2,ABLL,ARG"
"ABRAXAS2,ABRO1,FAM175B,KIAA0157"
ACADS
"ACADVL,VLCAD"
"CHRNA10,NACHRA10"
CHRNA2
"CHRNA3,NACHRA3"
"CHRNA1,ACHRA,CHNRA"
"CHRNE,ACHRE"
"ACKR3,CMKOR1,CXCR7,GPR159,RDC1"
"ACTL6A,BAF53,BAF53A,INO80K"
ACO2
"ACOT1,CTE1"
"ACOT4,PTE2B,PTEIB"
"ACOT8,ACTEIII,PTE1,PTE2"
"APEH,D3F15S2,D3S48E,DNF15S2"
"ASPA,ACY2,ASP"
ADAM21
"ADAM23,MDC3"
"ADAM28,ADAM23,MDCL"
"ADAD1,TENR"
"ADAD2,TENRL"
"ADAM8,MS2"
"ADAM9,KIAA0021,MCMP,MDC9,MLTNG"
"ADARB2-AS1,C10orf109,NCRNA00168"
"ADAT2,DEADC1"
ADCK5
"ADCY2,KIAA1060"
"ADCY6,KIAA0422"
"ADD1,ADDA"
ADH4
ADH7
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB,CDABP0067"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-C,HLAC"
"HLA-C,HLAC"
"HLA-C,HLAC"
"HLA-C,HLAC"
"HLA-C,HLAC"
"HLA-C,HLAC"
"HLA-C,HLAC"
HLA-DRB1
"MPG,AAG,ANPG,MID1"
HTR1E
HTR3C
HTR3D
HTR3E
HTR4
"NT5C2,NT5B,NT5CP,PNT5"
"ADAMTSL4-AS1,C1orf138"
A4GNT
ADORA1
"ADORA2A,ADORA2"
ADORA2B
"SERPINA3,AACT,GIG24,GIG25"
PRKAB2
PRKAG1
PRKAG2
AAMP
"AAR2,C20orf4,CGI-23,PRO0225"
"AARD,C8orf85"
APOBEC3A
"APOBEC3C,APOBEC1L,PBI"
"ABCA8,KIAA0822"
"ABCB7,ABC7"
ABCB10
"ABCB11,BSEP"
"ABCC13,C21orf73,PRED6"
"ABCD1,ALD"
APOBEC2
ABHD6
"ABRACL,C6orf115,HSPC280,PRO2013"
"ACACA,ACAC,ACC1,ACCA"
"ACACB,ACC2,ACCB"
ACAD9
"ACSBG1,BGM,KIAA0631,LPD"
"ACER1,ASAH3"
"ACE,DCP,DCP1"
"CHRNA4,NACRA4"
"CHRNA7,NACHRA7"
YWHAB
YWHAE
"YWHAH,YWHA1"
"ACCS,PHACS"
ACCSL
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-A,HLAA"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
"HLA-B,HLAB"
PPP2R5B
PPP2R5D
"PPP2R5C,KIAA0044"
PPP2R2B
PPP2R2C
HLA-DRB1
HLA-DRB1
HLA-DRB1
HLA-DRB1
HLA-DRB1
HLA-DRB1
PGLS
"NUDT1,MTH1"
ARL14EPL
"ORM1,AGP1"
ANKRD20A12P
"ANKRD36BP1,ANKRD26L1"
"SERPINF2,AAP,PLI"
ADORA3
"AAK1,KIAA1048"
"PRKAB1,AMPK"
GOT1L1
GOT1
"AATF,CHE1,DED,HSPC277"
GOT2
"ABCA2,ABC2,KIAA1062"
"ABCA3,ABC3"
"ABCA4,ABCR"
"ABCA5,KIAA1888"
"ABCG1,ABC8,WHT1"
"ABCG2,ABCP,BCRP,BCRP1,MXR"
ABCG8
"ABHD2,LABH2"
ABHD4
"ABHD14B,CIB"
"ABHD16A,BAT5,G5,NG26,PP199"
"ABI2,ARGBPIA"
"ACTL10,C20orf134"
ACTL7B
ACLY
CHRM2
"ACOT11,BFIT,KIAA0707,THEA"
"ACOT12,CACH,CACH1,STARD15"
"ACOT6,C14orf42"
"ACOX3,BRCOX,PRCOX"
ACOXL
ACADSB
"ACD,PIP1,PTOP,TINT1,TPP1"
"ACER2,ASAH3L,PP11646"
"ACER3,APHC,PHCA"
ACHE
CHRNB4
"CHRNG,ACHRG"
"GCNA,ACRC"
"ACSL3,ACS3,FACL3,LACS3"
"ACSL4,ACS4,FACL4,LACS4"
"ACSM1,BUCS1,LAE,MACS1"
"ACSM3,SAH"
"ACTA1,ACTA"
"ACYP2,ACYP"
"ADRA2A,ADRA2R,ADRAR"
"ADRA2C,ADRA2L2,ADRA2RL2"
"ADAM30,UNQ2509/PRO5997"
"ADAM33,C20orf153,UNQ873/PRO1891"
"ADA,ADA1"
"ADCY7,KIAA0037"
ADAMDEC1
"ALG10,ALG10A"
"ALG10B,KCR1"
"AGR2,AG2,UNQ515/PRO1030"
"ADGRA1,GPR123,KIAA1828"
"ADGRE1,EMR1,TM7LN3"
"ADGRE4P,EMR4,EMR4P,GPR127,PGR16"
"ADGRF1,GPR110,PGR19"
"ADGRL2,KIAA0786,LEC1,LPHH1,LPHN2"
"ADGRL3,KIAA0768,LEC3,LPHN3"
"ADGRL4,ELTD1,ETL,UNQ202/PRO228"
"AGRP,AGRT,ART"
"AGTR1,AGTR1A,AGTR1B,AT2R1,AT2R1B"
AGTR2
"AIMP1,EMAP2,SCYE1"
